time,switch_id,src_ip,dst_ip,proto,src_port,dst_port,in_port,pkt_rate,byte_rate,avg_pkt_size,duration,pair_flow,port_src_count,label
4.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,10,5460,546,0.569388,1,2,0
4.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,17,9282,546,0.79424,1,2,0
4.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,25,13650,546,0.910003,1,1,0
4.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,10,5460,546,0.569134,1,1,0
4.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,17,9282,546,0.793986,1,1,0
4.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,25,13650,546,0.909833,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,0.46716,0,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,14,7644,546,1.56939,1,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,1,246,246,0.426121,0,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,23,12558,546,1.79424,1,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,0.458223,0,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,13,7098,546,1.91,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,14,7644,546,1.56913,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,23,12558,546,1.79399,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,13,7098,546,1.90983,1,1,0
6.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,1.46716,0,2,0
6.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,25,13650,546,2.56939,1,2,0
6.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,2,492,246,1.42612,0,2,0
6.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,21,11466,546,2.79424,1,2,0
6.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,3,738,246,1.45822,0,1,0
6.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,18,9828,546,2.91,1,1,0
6.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,25,13650,546,2.56913,1,1,0
6.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,21,11466,546,2.79399,1,1,0
6.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,18,9828,546,2.90983,1,1,0
7.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,2,492,246,2.46716,0,2,0
7.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,18,9828,546,3.56939,1,2,0
7.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,2,492,246,2.42612,0,2,0
7.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,18,9828,546,3.79424,1,2,0
7.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,1,246,246,2.45822,0,1,0
7.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,20,10920,546,3.91,1,1,0
7.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,18,9828,546,3.56913,1,1,0
7.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,18,9828,546,3.79399,1,1,0
7.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,19,10374,546,3.90983,1,1,0
8.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,3.46716,0,2,0
8.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,17,9282,546,4.56939,1,2,0
8.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,3,738,246,3.42612,0,2,0
8.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,19,10374,546,4.79424,1,2,0
