time,switch_id,src_ip,dst_ip,proto,src_port,dst_port,in_port,pkt_rate,byte_rate,avg_pkt_size,duration,pair_flow,port_src_count,label
4.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,1,246,246,0.221424,0,2,0
4.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,20,10920,546,0.902084,1,2,0
4.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,11,6006,546,0.569388,1,2,0
4.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,20,10920,546,0.7943,1,1,0
4.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,20,10920,546,0.901914,1,1,0
4.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,11,6006,546,0.569134,1,1,0
4.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,20,10920,546,0.794046,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,1025,5000,0,3,738,246,1.22142,0,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.1,192.168.1.8,17,6100,6000,0,12,6552,546,1.90208,1,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,1025,5000,0,2,492,246,0.46716,0,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.2,192.168.1.8,17,6100,6000,0,18,9828,546,1.56939,1,2,0
5.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,1025,5000,1,2,492,246,0.426142,0,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.6,192.168.1.8,17,6100,6000,1,22,12012,546,1.7943,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.1,17,6000,6100,2,12,6552,546,1.90191,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.2,17,6000,6100,2,18,9828,546,1.56913,1,1,0
5.00001,0A-AA-00-00-00-02,192.168.1.8,192.168.1.6,17,6000,6100,2,22,12012,546,1.79405,1,1,0
