time,switch_id,src_ip,dst_ip,proto,in_port,pkt_rate,byte_rate,avg_pkt_size,duration,pair_flow,port_src_count,label
349.57,1,10.0.0.2,10.0.0.100,17,3,55.97,13016.43,232.6,27.24,1,3,0
257.13,1,10.0.0.1,10.0.0.100,17,2,405.05,464434.68,1146.6,26.63,0,1,0
678.83,2,172.16.79.74,10.0.0.100,17,4,846.93,359366.59,424.3,4.93,0,157,1
216.7,1,10.0.0.3,10.0.0.100,17,2,13.72,15823.21,1153.7,22.62,1,2,0
399.27,3,10.0.0.2,10.0.0.100,17,3,50.87,8580.58,168.7,2.92,1,2,0
55.15,2,10.0.0.3,10.0.0.100,6,2,34.97,8117.82,232.2,11.28,1,1,0
755.1,2,192.168.225.84,10.0.0.100,6,5,663.88,58815.25,88.6,4.34,0,308,1
316.95,2,10.0.0.3,10.0.0.100,17,3,84.3,51756.54,614.0,15.61,1,1,0
222.17,3,10.0.0.3,10.0.0.100,17,2,88.02,70476.96,800.7,27.22,1,3,0
601.27,1,10.0.0.2,10.0.0.100,6,1,408.0,391553.44,959.7,11.68,1,30,0
721.4,3,172.16.137.69,10.0.0.100,17,5,772.8,266581.5,345.0,7.92,1,1,1
356.96,2,10.0.0.2,10.0.0.100,17,2,43.68,29986.7,686.5,23.22,1,2,0
639.44,1,10.0.0.1,10.0.0.100,6,3,53.71,9671.87,180.1,27.35,1,2,0
715.38,3,172.16.119.4,10.0.0.100,17,4,2138.04,1108074.55,518.3,3.74,0,213,1
726.52,3,192.168.133.25,10.0.0.100,6,5,2421.7,182593.87,75.4,3.03,0,3,1
558.02,2,10.0.0.3,10.0.0.100,17,2,119.29,63196.81,529.8,21.74,1,3,0
612.75,3,10.0.0.3,10.0.0.100,6,3,61.12,31294.72,512.0,13.48,1,3,0
749.93,1,192.168.142.127,10.0.0.100,6,5,949.82,120628.88,127.0,4.85,0,413,1
754.0,3,192.168.162.80,10.0.0.100,6,4,428.5,56498.58,131.9,0.71,0,329,1
746.07,1,192.168.249.34,10.0.0.100,6,4,680.25,37098.25,54.5,1.79,0,1,1
487.69,3,10.0.0.2,10.0.0.100,17,3,21.92,24094.51,1099.4,11.26,1,2,0
220.66,3,10.0.0.2,10.0.0.100,17,2,37.56,43581.73,1160.3,4.05,0,1,0
26.73,1,10.0.0.3,10.0.0.100,17,2,91.25,92417.23,1012.8,16.03,1,3,0
769.37,3,192.168.156.150,10.0.0.100,6,4,844.34,55745.32,66.0,5.59,0,111,1
301.41,3,10.0.0.2,10.0.0.100,17,2,85.15,70072.99,822.9,9.17,0,1,0
279.94,2,10.0.0.2,10.0.0.100,6,3,109.06,69271.94,635.2,27.16,1,3,0
447.34,2,10.0.0.1,10.0.0.100,6,3,38.94,9264.94,237.9,10.56,1,3,0
