config,attack,detector,rep,victim_rcvd,blocked,tp,fp,fn,precision,recall,f1,fpr,detection_latency
NoProtection,full-rate,none,0,98370,0,,,,,,,,
NoProtection,full-rate,none,1,98693,0,,,,,,,,
NoProtection,full-rate,none,2,100554,0,,,,,,,,
NoProtection,full-rate,none,3,99804,0,,,,,,,,
NoProtection,full-rate,none,4,99531,0,,,,,,,,
DecisionTree,full-rate,DecisionTree,0,9683,88687,8,0,0,1,1,1,0,0
DecisionTree,full-rate,DecisionTree,1,10035,88658,8,0,1,1,0.88888888888889,0.94117647058824,0,0
DecisionTree,full-rate,DecisionTree,2,10768,89786,8,0,2,1,0.8,0.88888888888889,0,1
DecisionTree,full-rate,DecisionTree,3,9872,89932,8,0,0,1,1,1,0,0
DecisionTree,full-rate,DecisionTree,4,10032,89500,8,0,1,1,0.88888888888889,0.94117647058824,0,0
KMeans,full-rate,KMeans,0,9652,89071,8,3,0,0.72727272727273,1,0.84210526315789,0.0066666666666667,0
KMeans,full-rate,KMeans,1,9871,90586,8,10,1,0.44444444444444,0.88888888888889,0.59259259259259,0.033557046979866,0
KMeans,full-rate,KMeans,2,8020,94884,8,14,0,0.36363636363636,1,0.53333333333333,0.061946902654867,0
KMeans,full-rate,KMeans,3,9768,90896,8,8,0,0.5,1,0.66666666666667,0.021220159151194,0
KMeans,full-rate,KMeans,4,8802,91794,8,9,0,0.47058823529412,1,0.64,0.02445652173913,0
LowRateFlood,low-rate,none,0,4351,0,,,,,,,,
LowRateFlood,low-rate,none,1,4336,0,,,,,,,,
LowRateFlood,low-rate,none,2,4510,0,,,,,,,,
LowRateFlood,low-rate,none,3,4523,0,,,,,,,,
LowRateFlood,low-rate,none,4,4269,0,,,,,,,,
LowRate_DT,low-rate,DecisionTree,0,4351,0,0,0,77,0,0,0,0,
LowRate_DT,low-rate,DecisionTree,1,4336,0,0,0,78,0,0,0,0,
LowRate_DT,low-rate,DecisionTree,2,4510,0,0,0,80,0,0,0,0,
LowRate_DT,low-rate,DecisionTree,3,4523,0,0,0,78,0,0,0,0,
LowRate_DT,low-rate,DecisionTree,4,4269,0,0,0,78,0,0,0,0,
LowRate_KMeans,low-rate,KMeans,0,711,4308,8,6,0,0.57142857142857,1,0.72727272727273,0.014598540145985,0
LowRate_KMeans,low-rate,KMeans,1,796,4264,8,5,1,0.61538461538462,0.88888888888889,0.72727272727273,0.011961722488038,0
LowRate_KMeans,low-rate,KMeans,2,633,4941,8,7,0,0.53333333333333,1,0.69565217391304,0.019283746556474,0
LowRate_KMeans,low-rate,KMeans,3,730,4638,8,8,0,0.5,1,0.66666666666667,0.020779220779221,0
LowRate_KMeans,low-rate,KMeans,4,570,4897,8,9,0,0.47058823529412,1,0.64,0.026011560693642,0
