detector,interval,rep,tp,fp,tn,fn,recall,precision,fpr,victim_rcvd,blocked
DecisionTree,0.0008,0,8,0,490,0,1,1,0,9683,88687
DecisionTree,0.0008,1,8,0,492,1,0.88888888888889,1,0,10035,88658
DecisionTree,0.0008,2,8,0,491,2,0.8,1,0,10768,89786
DecisionTree,0.0008,3,8,0,492,0,1,1,0,9872,89932
DecisionTree,0.0008,4,8,0,491,1,0.88888888888889,1,0,10032,89500
DecisionTree,0.004,0,0,0,489,77,0,0,0,20192,0
DecisionTree,0.004,1,0,0,491,78,0,0,0,20016,0
DecisionTree,0.004,2,0,0,491,80,0,0,0,20417,0
DecisionTree,0.004,3,0,0,492,78,0,0,0,20285,0
DecisionTree,0.004,4,0,0,492,78,0,0,0,20140,0
DecisionTree,0.008,0,0,0,488,77,0,0,0,10237,0
DecisionTree,0.008,1,0,0,493,78,0,0,0,10253,0
DecisionTree,0.008,2,0,0,490,80,0,0,0,10491,0
DecisionTree,0.008,3,0,0,494,78,0,0,0,10468,0
DecisionTree,0.008,4,0,0,490,78,0,0,0,10375,0
DecisionTree,0.02,0,0,0,490,77,0,0,0,4351,0
DecisionTree,0.02,1,0,0,492,78,0,0,0,4336,0
DecisionTree,0.02,2,0,0,492,80,0,0,0,4510,0
DecisionTree,0.02,3,0,0,495,78,0,0,0,4523,0
DecisionTree,0.02,4,0,0,489,78,0,0,0,4269,0
DecisionTree,0.04,0,0,0,488,77,0,0,0,2435,0
DecisionTree,0.04,1,0,0,495,78,0,0,0,2405,0
DecisionTree,0.04,2,0,0,494,80,0,0,0,2481,0
DecisionTree,0.04,3,0,0,496,78,0,0,0,2443,0
DecisionTree,0.04,4,0,0,488,78,0,0,0,2304,0
KMeans,0.0008,0,8,3,447,0,1,0.72727272727273,0.0066666666666667,9652,89071
KMeans,0.0008,1,8,10,288,1,0.88888888888889,0.44444444444444,0.033557046979866,9871,90586
KMeans,0.0008,2,8,14,212,0,1,0.36363636363636,0.061946902654867,8020,94884
KMeans,0.0008,3,8,8,369,0,1,0.5,0.021220159151194,9768,90896
KMeans,0.0008,4,8,9,359,0,1,0.47058823529412,0.02445652173913,8802,91794
KMeans,0.004,0,8,7,339,0,1,0.53333333333333,0.020231213872832,2155,19492
KMeans,0.004,1,8,9,330,1,0.88888888888889,0.47058823529412,0.026548672566372,2243,19288
KMeans,0.004,2,8,10,327,1,0.88888888888889,0.44444444444444,0.029673590504451,1909,19816
KMeans,0.004,3,8,8,375,0,1,0.5,0.02088772845953,2183,18893
KMeans,0.004,4,8,8,369,0,1,0.5,0.021220159151194,1937,19165
KMeans,0.008,0,8,4,416,0,1,0.66666666666667,0.0095238095238095,1260,9566
KMeans,0.008,1,8,10,322,1,0.88888888888889,0.44444444444444,0.030120481927711,1266,10353
KMeans,0.008,2,8,12,265,0,1,0.4,0.043321299638989,1009,11279
KMeans,0.008,3,8,12,326,0,1,0.4,0.035502958579882,1334,10538
KMeans,0.008,4,8,8,316,0,1,0.5,0.024691358024691,1158,10692
KMeans,0.02,0,8,6,405,0,1,0.57142857142857,0.014598540145985,711,4308
KMeans,0.02,1,8,5,413,1,0.88888888888889,0.61538461538462,0.011961722488038,796,4264
KMeans,0.02,2,8,7,356,0,1,0.53333333333333,0.019283746556474,633,4941
KMeans,0.02,3,8,8,377,0,1,0.5,0.020779220779221,730,4638
KMeans,0.02,4,8,9,337,0,1,0.47058823529412,0.026011560693642,570,4897
KMeans,0.04,0,8,8,333,0,1,0.5,0.023460410557185,508,3274
KMeans,0.04,1,8,8,364,1,0.88888888888889,0.5,0.021505376344086,551,2988
KMeans,0.04,2,8,9,295,1,0.88888888888889,0.47058823529412,0.029605263157895,461,3711
KMeans,0.04,3,8,8,376,0,1,0.5,0.020833333333333,540,2737
KMeans,0.04,4,8,11,314,0,1,0.42105263157895,0.033846153846154,409,3142
