confirmations,rep,tp,fp,tn,fn,recall,precision,fpr,detection_latency,victim_rcvd,blocked
1,0,8,10,320,0,1,0.44444444444444,0.03030303030303,0,687,5323
1,1,8,13,272,1,0.88888888888889,0.38095238095238,0.045614035087719,0,615,5416
1,2,8,11,307,1,0.88888888888889,0.42105263157895,0.034591194968553,1.00000032,639,5301
1,3,8,10,310,0,1,0.44444444444444,0.03125,0,643,5240
1,4,8,11,289,1,0.88888888888889,0.42105263157895,0.036666666666667,0,669,5603
2,0,8,1,491,8,0.5,0.88888888888889,0.0020325203252033,1,1212,3178
2,1,7,2,486,9,0.4375,0.77777777777778,0.0040983606557377,1,1149,3363
2,2,8,1,493,9,0.47058823529412,0.88888888888889,0.0020242914979757,2.00000032,1226,3462
2,3,8,2,488,8,0.5,0.8,0.0040816326530612,1,1183,3437
2,4,8,2,491,8,0.5,0.8,0.0040567951318458,1,1157,3060
3,0,6,0,492,12,0.33333333333333,1,0,2,1396,2972
3,1,6,1,487,13,0.31578947368421,0.85714285714286,0.0020491803278689,2.00000064,1300,3212
3,2,6,0,494,15,0.28571428571429,1,0,3.00000032,1536,3091
3,3,6,0,493,14,0.3,1,0,2,1493,3038
3,4,6,0,493,12,0.33333333333333,1,0,2,1246,2908
5,0,6,0,492,24,0.2,1,0,3.99999968,1850,2518
5,1,6,0,494,24,0.2,1,0,4.00000064,1776,2524
5,2,6,0,494,25,0.19354838709677,1,0,5,1934,2693
5,3,6,0,493,24,0.2,1,0,4.00000032,1889,2642
5,4,6,0,493,24,0.2,1,0,4,1840,2314
