cost,rep,tp,fp,tn,fn,recall,precision,fpr,detection_latency,victim_rcvd,blocked
2000,0,8,34,16,0,1,0.19047619047619,0.68,0,432,7080
2000,1,8,30,16,1,0.88888888888889,0.21052631578947,0.65217391304348,0,422,7204
2000,2,8,30,15,0,1,0.21052631578947,0.66666666666667,0,329,7506
2000,3,8,24,17,0,1,0.25,0.58536585365854,0,415,7426
2000,4,8,34,19,1,0.88888888888889,0.19047619047619,0.64150943396226,0,404,6818
8000,0,8,18,115,1,0.88888888888889,0.30769230769231,0.13533834586466,0,553,6763
8000,1,8,19,109,2,0.8,0.2962962962963,0.1484375,0.99999904,536,6857
8000,2,8,16,157,2,0.8,0.33333333333333,0.092485549132948,1.00000032,649,6675
8000,3,8,18,117,0,1,0.30769230769231,0.13333333333333,0,497,6837
8000,4,8,19,112,2,0.8,0.2962962962963,0.14503816793893,1,574,6528
30000,0,8,2,441,4,0.66666666666667,0.8,0.0045146726862302,0,969,4045
30000,1,7,0,494,10,0.41176470588235,1,0,1,1216,3084
30000,2,8,0,494,5,0.61538461538462,1,0,2.00000032,1021,3606
30000,3,7,0,493,8,0.46666666666667,1,0,2,1201,3330
30000,4,7,0,493,11,0.38888888888889,1,0,1,1258,2896
200000,0,0,0,492,78,0,0,0,,4368,0
200000,1,0,0,494,78,0,0,0,,4300,0
200000,2,0,0,494,81,0,0,0,,4627,0
200000,3,0,0,493,80,0,0,0,,4531,0
200000,4,0,0,493,76,0,0,0,,4154,0
